country,region,c1_security_apparatus_variability,c1_security_apparatus_growth,c2_factionalized_elites_variability,c2_factionalized_elites_growth,c3_group_grievance_variability,c3_group_grievance_growth,e1_economy_variability,e1_economy_growth,e2_economic_inequality_variability,e2_economic_inequality_growth,e3_human_flight_and_brain_drain_variability,e3_human_flight_and_brain_drain_growth,p1_state_legitimacy_variability,p1_state_legitimacy_growth,p2_public_services_variability,p2_public_services_growth,p3_human_rights_variability,p3_human_rights_growth,s1_demographic_pressures_variability,s1_demographic_pressures_growth,s2_refugees_and_idps_variability,s2_refugees_and_idps_growth,x1_external_intervention_variability,x1_external_intervention_growth
Botswana,Africa,0.08483513729391885,-0.00951438610151134,0.06525949484385811,0.005622226892775695,0.14274400439834609,0.0032741631748813838,0.07667158913012749,0.01646536288216849,0.055517346728719524,-0.0008583842843750134,0.08570319079772251,-0.016780094049074212,0.30954026994500117,-0.045320736574015696,0.06281800196389425,-0.00448245185416285,0.041751107260656624,0.0011891009686981757,0.07534260106807125,-0.010293168782474549,0.2421446472268311,-0.03809977552285959,0.27421500928137393,-0.05484180326514443
Brazil,South America,0.07383989257902847,0.0049583176926735195,0.15838170888458342,0.04256640920271959,0.10303767070467788,0.01627435165893698,0.2530153859018763,0.05398426600520301,0.08875817337069636,-0.013040319809382916,0.11282268444899214,-0.020762311659783372,0.10061370415325131,0.015133766672963622,0.1006956762345418,0.004242710190580867,0.15132280125570505,0.023757580822594937,0.12510964581688952,0.017296161127573484,0.10348819812564809,-0.0016557381604447308,0.16849470012788773,-0.026063172695576786
Brunei Darussalam,East and Southeast Asia,0.1624780520781924,-0.03503075986043369,2.474360431633642e-16,0.0,0.07496574597499728,-0.0025832337047801968,0.0887586945409661,-0.004025533301575623,0.037004465215162534,-0.00842315896477941,0.0946443496184747,-0.013119990986744656,0.04617851755551199,0.0,0.2785382056142873,-0.030813729061518025,0.064756304461072,-0.002903278289695388,0.27862448248795146,-0.04942017504585927,0.5140801774231762,-0.0967139751124042,0.1557185192763102,-0.025674677882573604
Bulgaria,Europe,0.11070288418871153,-0.017131621729740587,0.1053844502426291,0.015215766222682614,0.09478347503741105,0.0,0.106849937059667,0.001353239404690454,0.18510274406938,-0.016161321708658805,0.13279230397363273,-0.008382367076814168,0.19500859821429212,-0.03307513887162905,0.11185856013563056,-0.017881157335850273,0.18695583871533572,-0.02475229901662246,0.18594478604065137,-0.006178511404421272,0.10459056456146681,0.004162614253149455,0.1346857177634375,-0.023048769164099814
Burkina Faso,Africa,0.09303052638087589,0.01194526110017713,0.03364656069868202,0.003707669724392293,0.1515934240253015,-0.006680191145994496,0.08824817780463358,-0.007620995835944222,0.05707146999697334,-0.003435040038690551,0.061320563662693756,0.003467202773614231,0.09133858819585218,-0.0030919004053626686,0.027912519120710206,0.00138510527993696,0.06918295196260207,0.004368808017071402,0.03881506875834888,-0.004751561476040833,0.11753456553679054,0.019552326629068695,0.0631436248312585,0.01548427567844568
Burundi,Africa,0.0837103697336385,0.0039046259452661936,0.03545326793739014,0.005068237330221548,0.07080775871512225,-0.00257330821361601,0.04335627311148191,0.007120998571757076,0.0821016906149864,-0.011734762798212617,0.07250785589804616,-0.014798173570898299,0.09323492519588998,0.013871409073335617,0.05178997800331372,-0.003559803048520549,0.07290311331039025,0.008083032894427467,0.025563955957705487,-0.00199222180861236,0.04159241541193216,-0.0075497605242736965,0.05893997729359999,-0.01601373844805909
Cabo Verde,Africa,0.09483887136538248,-0.0230553341778702,0.05785485069417948,-0.009427151780669552,0.18445177999168122,-0.04239671930142641,0.12478181336150763,-0.01885063629146777,0.1127526476731179,-0.013354488121876562,0.03990728945259862,-0.001542098029911898,0.22615289438757133,-0.0423967193014263,0.12052831038100803,-0.017268743786591934,0.30666314587575494,-0.061959171947178926,0.07727959249806296,-0.015030489123384005,0.09563650695950075,-0.017819451444740952,0.040121539644936484,0.0
Cambodia,East and Southeast Asia,0.030306284254191927,-0.0026910512026701028,0.05742687475244399,0.008768811279168176,0.08821910249633197,-0.014085856119005702,0.13262757859437246,-0.008382367076814168,0.06760973392742281,-0.00690446773761999,0.08149244659914802,-0.016780094049074212,0.03253035522651248,0.009108923067066454,0.039268347779511964,-0.0007892777875962986,0.05021913505458898,0.010925969116231116,0.09455229934093154,-0.009286320968176498,0.12993879085503404,-0.029601596065625624,0.06803101154936907,0.0052852212165510615
Cameroon,Africa,0.033457879509668075,0.0037550215757724548,0.057378708783739026,0.009643355708852885,0.08046694036837794,0.013028963588389564,0.05914946073218522,0.0,0.06544701025753732,-0.00947500454008332,0.044435473074308084,-0.008663438376487309,0.032640584324043646,0.002042409823822977,0.04500401184715029,0.0021678742796018557,0.041548891186820924,0.0008117011413517616,0.07742574633598336,0.019326886380726105,0.07469538541948459,0.012507519549268764,0.06150428335109672,-0.0026910512026701028
Canada,North America,0.35173366058929645,0.04747221219760944,0.13555084422089925,0.0265998063457753,0.20223963785922908,0.0,0.2021802986654429,0.009108923067066454,0.3393349462295438,-0.03995331314520678,0.2787568765215847,-0.059886101665628466,0.4178013521185677,-0.0748046212731942,0.2996172363823971,0.031705673755738184,0.17266517270799597,0.014002349511784029,0.33488633824600467,-0.05247262897373173,0.11931232818971202,-0.00818758833961919,0.4198082469314306,-0.05247262897373173
Central African Republic,Africa,0.06979543827911568,-0.006251538196792916,0.04871870588677817,0.00953149977108425,0.053103123751913964,-0.0048638775461898875,0.04116079308520193,0.0007220306912154584,0.05331605573135381,0.007184327572206328,0.1093531012135637,0.007072018849174633,0.030557389484031628,-0.0006570370329352926,0.07237760957294993,0.013212616554775902,0.07005308978709512,0.011439726709838505,0.026526252734166186,0.0019306744637799245,0.06859775082635014,0.012433810260269462,0.03714789308749062,0.005937766460621718
Chad,Africa,0.04279014698932233,-0.0045418113218806955,0.015531801116890464,0.0,0.07855160856659944,-0.0028314017536492653,0.04409857223546103,0.0036164616960541185,0.025193623996908134,-0.00199222180861236,0.04686387536965548,-0.002245781088206611,0.03142539741573989,-0.0025272355662483426,0.029190497215454334,0.0038035989884424026,0.052818327408782915,-0.004697327455581379,0.03117583800581251,0.003185487697482836,0.032713655909981335,0.0,0.08288364443052133,-0.0007396546856218711
Chile,South America,0.2429397657353912,0.0351803742497514,0.19914311652479166,0.022784649503392096,0.0809814126481352,0.004849254954405469,0.11463543105145935,0.009605779193564867,0.10221085472458105,0.012009235392639095,0.2154489611578387,0.0298955299631416,0.3920969021593183,0.06534886637037896,0.08884858245372294,0.0063858078621616965,0.07748769954703823,0.0,0.17342930884013844,0.04058672168497979,0.2555283405732789,0.024137596028845465,0.38007525766626327,-0.05730998363938966
