country,region,fragility.Average_HumanRights,fragility.Volatility_HumanRights
Kenya,Africa,-0.0053369884723109,0.08079326374108653
Kuwait,Middle East,0.0076572753822803374,0.06599232967478962
Kyrgyzstan,Central Asia,-0.010520335382062207,0.07574321788695833
Laos,East and Southeast Asia,-0.01095202867021372,0.08584373747646802
Latvia,Europe,-0.03844608640706482,0.18710034525030056
Lebanon,Middle East,0.0025427668833994943,0.03591629834106316
Lesotho,Africa,-0.019364570590882813,0.1311703286461918
Liberia,Africa,0.002404179210369062,0.05457675785517762
Libya,Africa,0.008159600050166693,0.05572541900380507
Lithuania,Europe,-0.03844608640706482,0.20457366679254144
Luxembourg,Europe,-0.023146259287987858,0.18543312004452817
Madagascar,Africa,0.0032109750707449702,0.024182512637764407
Malawi,Africa,-0.026134827856982956,0.14617989399969789
Malaysia,East and Southeast Asia,0.008453225112691864,0.06483095807069285
Maldives,South Asia,-0.006832732333551861,0.042906869884083786
Mali,Africa,0.027871971919450678,0.19833800683163383
Malta,Europe,0.0017622307171991647,0.06611448041515829
Mauritania,Africa,-0.00608709187628087,0.06497828579092745
Mauritius,Africa,-0.015561684978693258,0.07916928550051998
Mexico,North America,0.00551669404644306,0.07724121654985149
Micronesia,Australia and Oceania,0.017503403749521196,0.1307974398329881
Moldova,Europe,-0.03217375748857576,0.19032705193283225
Mongolia,East and Southeast Asia,-0.027098019407924778,0.19524088422647978
Montenegro,Europe,-0.04029419181875049,0.19527729759148826
Morocco,Africa,-0.011734762798212506,0.0801057882674975
Mozambique,Africa,0.004242710190580867,0.11401079265582696
Myanmar,East and Southeast Asia,-0.0030757299575786545,0.05870045282259312
Namibia,Africa,-0.055428187073877755,0.3071353842732733
Nepal,South Asia,-0.02139859990817161,0.12122274327346941
Netherlands,Europe,-0.06258036949582613,0.2594414925085934
New Zealand,Australia and Oceania,-0.06258036949582624,0.392854573038433
Nicaragua,Central America and the Caribbean,0.01627435165893698,0.15558729339048588
Niger,Africa,0.0017842575139013217,0.08769858958298736
Nigeria,Africa,0.011338351392738755,0.06872293104987912
North Korea,East and Southeast Asia,-0.0006222833208164857,0.013605456291164143
North Macedonia,Europe,-0.04553302930173109,0.24159598117408057
Norway,Europe,-0.0748046212731942,0.4383074382909072
Oman,Middle East,0.0017842575139013217,0.06275042808837197
Pakistan,South Asia,-0.0073355007337920775,0.08304181938889404
Palestine,Middle East,-0.006514727329596015,0.012987012987012998
Panama,Central America and the Caribbean,-0.005105240031661129,0.08746843150829596
Papua New Guinea,East and Southeast Asia,0.005534006661821911,0.06902566476314888
Paraguay,South America,-0.026134827856982956,0.13435113272897306
Peru,South America,-0.01032610631101305,0.18846808260580006
Philippines,East and Southeast Asia,0.012227936676804774,0.09175456448820661
Poland,Europe,0.013552279762584885,0.1510008772218202
Portugal,Europe,-0.04918735944483421,0.41469299729008924
Qatar,Middle East,0.009872513844730424,0.11669158741621488
Romania,Europe,-0.009229435704199762,0.11085215306867581
